Charging locations,Number of plugs,Number of plugs in 2023,Number of plugs in 2026,Number of plugs in 2031,Zone substation install capacity in 2021 (MVA),Zone substation available capacity in 2021 (MVA),Zone,Longitude,Latitude,Time
"CARNES HILL, NSW",8,2,4,13,50,-0.47,1 km,150.8487366,-33.93771581,1/1/2029
"PLEASURE POINT, NSW",4,2,2,4,50,25.88,1 km,150.917444,-33.951109,1/1/2029
"HOLSWORTHY, NSW",4,2,4,4,50,25.88,1 km,150.919554,-34.074239,1/1/2029
"EDMONDSON PARK, NSW",4,2,4,4,50,10.64,1 km,150.85682,-33.958081,1/1/2029
"HORSLEY PARK, NSW",4,2,2,4,25,14.64,1 km,150.848192,-33.845034,1/1/2029
"ABBOTSBURY, NSW",6,2,4,9,45,4.69,1 km,150.88526,-33.872014,1/1/2029
"BONNYRIGG, NSW",4,2,2,4,70,34.77,1 km,150.879379,-33.895053,1/1/2029
"CECIL PARK, NSW",4,2,2,4,25,14.64,1 km,150.838225,-33.87478,1/1/2029
"AUSTRAL, NSW",5,2,4,8,50,-0.47,1 km,150.812031,-33.933109,1/1/2029
"CONISTON, NSW",15,4,5,22,19,4.86,1 km,150.874294,-34.423171,1/1/2029
"CRINGILA, NSW",4,2,2,4,25,11.62,1 km,150.873081,-34.494723,1/1/2029
"KEMBLAWARRA, NSW",6,2,4,9,25,11.62,1 km,150.943899,-34.466406,1/1/2029
"BERKELEY, NSW",4,2,2,4,24,5.73,1 km,150.840792,-34.48494,1/1/2029
"COALCLIFF, NSW",4,2,2,4,5,-0.66,1 km,150.969679,-34.230944,1/1/2029
"AUSTINMER, NSW",5,2,2,5,5,-0.66,1 km,150.9299,-34.300293,1/1/2029
"BULLI, NSW",4,2,2,4,15,3.08,1 km,150.904835,-34.332109,1/1/2029
"RUSSELL VALE, NSW",4,2,2,4,25,9.54,1 km,150.891169,-34.349362,1/1/2029
"BELLAMBI, NSW",7,2,4,10,25,9.54,1 km,150.886721,-34.373654,1/1/2029
"BALGOWNIE, NSW",6,2,4,9,19,1.11,1 km,150.709623,-34.35558,1/1/2029
"FIGTREE, NSW",4,2,2,4,25,1.98,1 km,150.818904,-34.437229,1/1/2029
"CORDEAUX, NSW",5,2,4,7,25,1.98,1 km,150.77681,-34.380765,1/1/2029
"ALBION PARK, NSW",10,2,4,14,25,0.09,1 km,150.7757276,-34.57564006,1/1/2029
"BARRACK HEIGHTS, NSW",4,2,2,4,40,5.83,1 km,150.855135,-34.548722,1/1/2029
"BLACKBUTT, NSW",4,2,4,8,40,5.83,1 km,150.84584,-34.592433,1/1/2029
"AVONDALE, NSW",10,4,4,13,50,12.58,1 km,150.766132,-34.505411,1/1/2029
"CATHERINE FIELD, NSW",4,2,2,4,70,-7.93,1 km,150.774858,-33.993545,1/1/2029
"EAGLE VALE, NSW",4,2,2,4,70,17.51,1 km,150.799483,-34.031602,1/1/2029
"AIRDS, NSW",15,4,7,24,33,-1.4,1 km,150.768408,-34.194216,1/1/2029
"GLENQUARIE, NSW",4,2,2,4,33,5.54,1 km,150.894916,-33.998362,1/1/2029
"BARDIA, NSW",7,2,4,11,35,23.91,1 km,150.8618744,-33.97723383,1/1/2029
"BOW BOWING, NSW",4,2,2,4,66,6.58,1 km,150.842258,-34.027283,1/1/2029
"CURRANS HILL, NSW",4,2,4,7,70,-7.93,1 km,150.756493,-34.055155,1/1/2029
"GLENMORE PARK, NSW",6,2,4,9,45,-1.57,1 km,150.671487,-33.871341,1/1/2029
"CADDENS, NSW",7,2,4,14,50,6.12,1 km,150.7376907,-33.77413222,1/1/2029
"ORCHARD HILLS, NSW",2,2,2,4,50,6.12,1 km,150.72319,-33.811042,1/1/2029
"EMU HEIGHTS, NSW",20,4,10,33,50,13.94,1 km,150.678551,-33.755476,1/1/2029
"AGNES BANKS, NSW",4,2,2,4,35,7.95,1 km,150.646053,-33.604022,1/1/2029
"NORTH RICHMOND, NSW",4,2,2,6,25,6.12,1 km,150.72802,-33.557893,1/1/2029
"BLIGH PARK, NSW",8,2,4,11,50,9.02,1 km,150.88744,-33.466271,1/1/2029
"KURMOND, NSW",4,2,2,4,25,6.82,1 km,150.692086,-33.554839,1/1/2029
"ERSKINE PARK, NSW",4,2,4,4,90,15.69,1 km,150.781767,-33.82252,1/1/2029
"COLYTON, NSW",6,2,4,9,44,8.46,1 km,150.780073,-33.763976,1/1/2029
"COLEBEE, NSW",7,2,4,11,50,4.45,1 km,150.84746,-33.742006,1/1/2029
"SCHOFIELDS, NSW",4,2,2,4,45,3.19,1 km,150.880097,-33.700603,1/1/2029
"BERKSHIRE PARK, NSW",12,2,4,16,50,9.02,1 km,150.860258,-33.663002,1/1/2029
"EASTERN CREEK, NSW",15,4,5,21,45,29.96,1 km,150.850764,-33.810388,1/1/2029
"BUNGARRIBEE, NSW",4,2,2,4,90,47.76,1 km,150.8651828,-33.77972161,1/1/2029
"GLENWOOD, NSW",4,2,2,4,90,-1.48,1 km,150.922732,-33.737863,1/1/2029
"BIDWILL, NSW",8,2,4,13,50,14.98,1 km,150.810246,-33.756443,1/1/2029
"GLENBROOK, NSW",4,2,2,4,35,12.66,1 km,150.626788,-33.768837,1/1/2029
"BLAXLAND, NSW",4,2,2,4,35,12.66,1 km,150.62902,-33.732671,1/1/2029
"FAULCONBRIDGE, NSW",4,2,2,4,35,8.4,1 km,150.553111,-33.666855,1/1/2029
"HAWKESBURY HEIGHTS, NSW",4,2,4,4,35,8.4,1 km,150.587962,-33.692534,1/1/2029
"HAZELBROOK, NSW",4,2,2,4,25,16.29,1 km,150.45933,-33.7237,1/1/2029
"KATOOMBA, NSW",8,4,4,11,25,16.29,1 km,150.3133153,-33.7123537,1/1/2029
"WENTWORTH FALLS, NSW",4,2,2,4,10,3.63,1 km,150.375845,-33.70843854,1/1/2029
"BUCKETTY, NSW",27,4,7,34,25.45,17.96,1 km,151.1402278,-33.11128874,1/1/2030
"SYDNEY, NSW",16,4,5,21,130.32,-2.01,1 km,151.2015802,-33.86051951,1/1/2030
"ALISON, NSW",30,4,10,37,54.01,6.72,1 km,151.377213,-33.208801,1/1/2030
"BATEAU BAY, NSW",10,2,4,13,71.69,33.08,1 km,151.519708,-33.315827,1/1/2030
"DARLINGHURST, NSW",4,2,2,4,80.59,49.02,1 km,151.212262,-33.884119,1/1/2030
"CROMER, NSW",12,4,4,13,58.78,15.19,1 km,151.279999,-33.748914,1/1/2030
"BANKSTOWN, NSW",12,4,4,15,91.95,46.93,1 km,151.014937,-33.926559,1/1/2030
"ASQUITH, NSW",11,2,4,13,114.32,37.08,1 km,151.097508,-33.691922,1/1/2030
"CROWS NEST, NSW",7,2,4,9,136.82,59.95,1 km,151.192212,-33.828361,1/1/2030
"BONDI, NSW",5,2,2,6,92.98,59.52,1 km,151.268968,-33.891041,1/1/2030
"CLOVELLY, NSW",9,2,4,12,92.98,59.52,1 km,151.239167,-33.914832,1/1/2030
"BOOKER BAY, NSW",5,2,2,6,35.7,3.46,1 km,151.374403,-33.520358,1/1/2030
"MAROUBRA, NSW",7,2,4,7,102.77,59.36,1 km,151.241292,-33.945635,1/1/2030
"BIRMINGHAM GARDENS, NSW",9,2,4,14,57.48,15.98,1 km,151.65807,-32.892577,1/1/2030
"BENNETTS GREEN, NSW",7,2,4,10,24.08,4.4,1 km,151.707801,-32.983963,1/1/2030
"AVOCA BEACH, NSW",5,2,2,8,59.83,24.91,1 km,151.401999,-33.482209,1/1/2030
"WATERLOO, NSW",4,2,4,5,83.6,6.38,1 km,151.206316,-33.903892,1/1/2030
"MOSMAN, NSW",8,2,4,10,89.05,10.93,1 km,151.243351,-33.830687,1/1/2030
"ELIZABETH BAY, NSW",6,2,4,6,80.59,49.02,1 km,151.221626,-33.873599,1/1/2030
"DENISTONE EAST, NSW",10,2,4,13,103.84,34.29,1 km,151.108447,-33.81658,1/1/2030
"CARINGBAH, NSW",5,2,2,6,38.11,11.32,1 km,151.120091,-34.05494,1/1/2030
"LANE COVE, NSW",16,2,5,21,67.14,7.83,1 km,151.160912,-33.818641,1/1/2030
"CHATSWOOD, NSW",8,2,4,9,90.65,23.36,1 km,151.17711,-33.798378,1/1/2030
"MARRICKVILLE, NSW",6,2,4,7,72.67,18.14,1 km,151.155539,-33.912288,1/1/2030
"LUGARNO, NSW",8,2,4,10,64.25,18.3,1 km,151.052257,-33.957725,1/1/2030
"CHIFLEY, NSW",11,4,4,13,72.67,39.47,1 km,151.237844,-33.969624,1/1/2030
"CAMERON PARK, NSW",13,2,4,14,38.11,14.08,1 km,151.651095,-32.933305,1/1/2030
"HURSTVILLE, NSW",4,2,4,4,114.32,30.43,1 km,151.101764,-33.966692,1/1/2030
"AUBURN, NSW",9,2,4,10,33.41,10.31,1 km,151.026756,-33.851868,1/1/2030
"BANKSIA, NSW",11,2,4,13,53.54,17.62,1 km,151.148204,-33.955393,1/1/2030
"BEVERLEY PARK, NSW",10,2,4,11,114.32,30.43,1 km,151.140345,-33.974354,1/1/2030
"ABBOTSFORD, NSW",7,2,4,8,56.15,-2.93,1 km,151.133865,-33.866044,1/1/2030
"CANTON BEACH, NSW",4,2,2,6,34.37,13.03,1 km,151.556223,-33.285097,1/1/2030
"PUNCHBOWL, NSW",10,2,4,12,40.35,-0.05,1 km,151.057799,-33.930089,1/1/2030
"EASTWOOD, NSW",7,2,4,8,103.84,34.29,1 km,151.092072,-33.791357,1/1/2030
"BREAKFAST POINT, NSW",7,2,4,8,54.41,3.26,1 km,151.103751,-33.85749,1/1/2030
"BELMONT, NSW",7,2,4,11,25.64,13.17,1 km,151.663175,-33.019715,1/1/2030
"BLENHEIM ROAD, NSW",7,2,4,10,70,30.69,1 km,151.130233,-33.79419,1/1/2030
"HMAS WATERHEN, NSW",5,2,4,6,136.82,59.95,1 km,151.204557,-33.839863,1/1/2030
"ERINA HEIGHTS, NSW",4,2,2,4,34.4,20.66,1 km,151.436939,-33.42537,1/1/2030
"ASHTONFIELD, NSW",9,2,4,12,38.11,-2.57,1 km,151.607554,-32.757616,1/1/2030
"CAMPSIE, NSW",4,2,2,4,87.01,15.39,1 km,151.101777,-33.917601,1/1/2030
"BERALA, NSW",10,4,4,11,54.87,11.91,1 km,151.044768,-33.872483,1/1/2030
"ARCADIA VALE, NSW",5,2,2,6,38.11,24.83,1 km,151.57181,-33.019117,1/1/2030
"LEICHHARDT, NSW",4,2,2,4,62.51,11.92,1 km,151.156819,-33.878774,1/1/2030
"ENGADINE, NSW",8,2,4,11,44.56,1.2,1 km,151.027919,-34.114626,1/1/2030
"ASHFIELD, NSW",4,2,2,5,59.84,23.57,1 km,151.124008,-33.887602,1/1/2030
"BARDWELL PARK, NSW",11,2,4,13,53.54,17.62,1 km,151.119517,-33.948744,1/1/2030
"ENMORE, NSW",4,2,2,4,88.63,11.1,1 km,151.175354,-33.900649,1/1/2030
"DENISTONE, NSW",14,2,4,18,103.84,34.29,1 km,151.084181,-33.810991,1/1/2030
"COOGEE, NSW",4,2,2,4,65.01,-8.05,1 km,151.252171,-33.929096,1/1/2030
"ALFORDS POINT, NSW",5,2,2,6,60.72,14.27,1 km,151.004412,-34.021938,1/1/2030
"LAKEMBA, NSW",4,2,2,5,40.35,-0.05,1 km,151.076939,-33.924525,1/1/2030
"STRATHFIELD, NSW",7,2,4,10,83.6,3.6,1 km,151.084759,-33.881009,1/1/2030
"ALLAMBIE, NSW",18,4,5,23,26.67,2.97,1 km,151.257781,-33.766409,1/1/2030
"BALGOWLAH, NSW",4,2,2,4,43.92,11.74,1 km,151.258069,-33.79315,1/1/2030
"MANLY, NSW",7,2,4,8,22.8,5.14,1 km,151.294675,-33.815482,1/1/2030
"ARNCLIFFE, NSW",4,2,4,4,53.54,17.62,1 km,151.147956,-33.937551,1/1/2030
"FOREST LODGE, NSW",4,2,2,4,62.51,11.92,1 km,151.184458,-33.880179,1/1/2030
"CHULLORA, NSW",11,2,4,13,91.95,46.93,1 km,151.053858,-33.901925,1/1/2030
"NORMANHURST, NSW",11,4,4,13,114.32,37.08,1 km,151.108249,-33.723263,1/1/2030
"MORTDALE, NSW",4,2,2,4,64.25,18.3,1 km,151.071837,-33.980264,1/1/2030
"BLACKWALL, NSW",5,2,2,6,30.75,8.3,1 km,151.331154,-33.482123,1/1/2030
"MOORE PARK, NSW",9,2,4,11,66.47,34.93,1 km,151.227236,-33.895705,1/1/2030
"EPPING, NSW",6,2,4,7,74.91,1.76,1 km,151.079919,-33.774145,1/1/2030
"NORTH TURRAMURRA, NSW",7,2,4,10,58.47,6.4,1 km,151.123716,-33.735222,1/1/2030
"HOMEBUSH BAY, NSW",12,2,4,14,53.18,8.3,1 km,151.076186,-33.85283,1/1/2030
"BLUE HAVEN, NSW",5,2,2,6,63.25,11.55,1 km,151.528042,-33.209125,1/1/2030
"MIRANDA, NSW",4,2,2,5,41.97,7.98,1 km,151.101564,-34.037692,1/1/2030
"ELANORA HEIGHTS, NSW",9,2,4,11,30.48,14.3,1 km,151.27114,-33.707117,1/1/2030
"CONCORD WEST, NSW",4,2,2,4,54.41,3.26,1 km,151.086036,-33.846098,1/1/2030
"EAST HILLS, NSW",4,2,4,4,61.18,7.42,1 km,150.997836,-33.964102,1/1/2030
"ADAMSTOWN, NSW",4,2,2,5,63.03,32.73,1 km,151.71008,-32.948567,1/1/2030
"BALMAIN, NSW",4,2,2,4,56.15,-2.93,1 km,151.180095,-33.858556,1/1/2030
"EASTLAKES, NSW",8,2,4,10,78.44,46.38,1 km,151.202697,-33.9233,1/1/2030
"BAR BEACH, NSW",4,2,2,4,76.21,32.64,1 km,151.778021,-32.931635,1/1/2030
"ST IVES, NSW",12,4,4,16,58.47,6.4,1 km,151.16729,-33.723693,1/1/2030
"KOORAGANG, NSW",8,2,4,10,62.59,28.16,1 km,151.73862,-32.880319,1/1/2030
"PENNANT HILLS, NSW",13,4,4,16,106.92,32.13,1 km,151.07359,-33.731105,1/1/2030
"PYRMONT, NSW",4,2,2,4,44.78,29.47,1 km,151.193055,-33.871222,1/1/2030
"REDFERN, NSW",6,2,4,6,30.48,-27.52,1 km,151.206211,-33.894912,1/1/2030
"ALEXANDRIA, NSW",8,2,4,10,88.63,11.1,1 km,151.194825,-33.910105,1/1/2030
"MASCOT, NSW",18,4,4,22,78.44,46.38,1 km,151.176775,-33.936179,1/1/2030
"BONDI JUNCTION, NSW",4,2,4,5,92.98,59.52,1 km,151.245049,-33.896401,1/1/2030
"CREMORNE, NSW",4,2,2,4,89.05,10.93,1 km,151.223094,-33.828949,1/1/2030
"BURWOOD, NSW",4,2,2,4,83.6,3.6,1 km,151.101757,-33.880049,1/1/2030
"KURRABA POINT, NSW",4,2,4,4,89.05,10.93,1 km,151.2228263,-33.84149573,1/1/2030
"HOMEBUSH, NSW",4,2,2,4,54.41,3.26,1 km,151.070853,-33.835018,1/1/2030
"CLEMTON PARK, NSW",6,2,4,9,87.01,15.39,1 km,151.122881,-33.926056,1/1/2030
"BORONIA PARK, NSW",5,2,4,7,69.83,2.86,1 km,151.124488,-33.829953,1/1/2030
"BLACKSMITHS, NSW",4,2,2,4,25.64,13.17,1 km,151.668857,-33.089963,1/1/2030
"PADSTOW, NSW",10,2,4,10,44.93,0.58,1 km,151.03221,-33.961366,1/1/2030
"DACEYVILLE, NSW",4,2,2,4,102.77,59.36,1 km,151.223936,-33.930314,1/1/2030
"ASHBURY, NSW",6,2,4,9,61.9,16.21,1 km,151.12086,-33.910308,1/1/2030
"REVESBY, NSW",15,2,5,17,61.18,7.42,1 km,151.014547,-33.947286,1/1/2030
"ALLAWAH, NSW",4,2,2,4,31.59,8.55,1 km,151.117453,-33.973161,1/1/2030
"CURL CURL, NSW",4,2,2,5,38.11,13.9,1 km,151.28494,-33.776781,1/1/2030
"CASTLECRAG, NSW",9,2,4,12,90.65,23.36,1 km,151.202715,-33.800881,1/1/2030
"ELEEBANA, NSW",6,2,4,8,38.11,12.22,1 km,151.651275,-32.987279,1/1/2030
"DULWICH HILL, NSW",4,2,2,4,72.67,18.14,1 km,151.138999,-33.90441,1/1/2030
"YAGOONA, NSW",5,2,4,5,54.87,11.91,1 km,151.023171,-33.905586,1/1/2030
"CHESTER HILL, NSW",4,2,4,4,94.58,34.91,1 km,151.004128,-33.88349,1/1/2030
"AVALON, NSW",4,2,2,4,30,6.8,1 km,151.323289,-33.634816,1/1/2030
"MEREWETHER, NSW",4,2,2,4,63.03,32.73,1 km,151.742882,-32.951039,1/1/2030
"BEVERLY HILLS, NSW",4,2,4,4,42.81,13.93,1 km,151.075304,-33.94913,1/1/2030
"DRUMMOYNE, NSW",7,2,4,9,56.15,-2.93,1 km,151.165735,-33.853924,1/1/2030
"DOLLS POINT, NSW",4,2,2,4,24.29,7.88,1 km,151.132495,-33.996587,1/1/2030
"BLAKEHURST, NSW",6,2,4,9,41.97,7.98,1 km,151.10599,-33.992159,1/1/2030
"PYMBLE, NSW",8,2,4,9,39.43,1.81,1 km,151.130278,-33.757296,1/1/2030
"CHERRYBROOK, NSW",4,2,4,4,106.92,32.13,1 km,151.043941,-33.724898,1/1/2030
"COLLAROY, NSW",4,2,4,4,58.78,15.19,1 km,151.297895,-33.739577,1/1/2030
"KANGAROO POINT, NSW",4,2,4,5,41.97,7.98,1 km,151.101891,-34.01362,1/1/2030
"GYMEA, NSW",4,2,2,4,44.56,1.2,1 km,151.085005,-34.04984,1/1/2030
"LEWISHAM, NSW",4,2,2,4,72.67,18.14,1 km,151.15085,-33.897219,1/1/2030
"BELMORE, NSW",4,2,2,4,87.01,15.39,1 km,151.089663,-33.921018,1/1/2030
"BANKSMEADOW, NSW",5,2,4,7,59.16,35.74,1 km,151.207285,-33.946923,1/1/2030
"KOTARA EAST, NSW",4,2,2,5,30.48,5.92,1 km,151.706545,-32.930221,1/1/2030
"EAST LINDFIELD, NSW",5,2,4,5,90.65,23.36,1 km,151.162007,-33.78042,1/1/2030
"KENSINGTON, NSW",4,2,2,4,65.01,-8.05,1 km,151.218435,-33.91139,1/1/2030
"CASTLE COVE, NSW",6,2,4,6,90.65,23.36,1 km,151.195368,-33.780246,1/1/2030
"CHIPPENDALE, NSW",2,2,2,4,130.32,-2.01,1 km,151.193858,-33.891146,1/1/2030
"PENSHURST, NSW",4,2,2,5,31.59,8.55,1 km,151.084774,-33.964713,1/1/2030
"DARLING POINT, NSW",4,2,2,4,80.59,49.02,1 km,151.250494,-33.868972,1/1/2030
"ROSE BAY, NSW",5,2,2,6,59.25,10.52,1 km,151.266989,-33.875709,1/1/2030
"MONA VALE, NSW",5,2,2,8,57.41,21.97,1 km,151.302825,-33.679336,1/1/2030
"KINGSGROVE, NSW",5,2,4,5,59.56,36.43,1 km,151.098002,-33.942632,1/1/2030
"BRONTE, NSW",4,2,2,4,65.01,10.26,1 km,151.259392,-33.904414,1/1/2030
"JESMOND, NSW",4,2,2,4,57.48,15.98,1 km,151.704581,-32.909816,1/1/2030
"ARGENTON, NSW",4,2,2,5,60.8,24.87,1 km,151.621183,-32.953236,1/1/2030
"ARTARMON, NSW",5,2,4,6,96.9,47.43,1 km,151.183801,-33.813209,1/1/2030
"HAMILTON, NSW",4,2,2,4,40.66,14.06,1 km,151.743325,-32.924571,1/1/2030
"FRENCHS FOREST, NSW",6,2,4,6,40.29,10.36,1 km,151.229211,-33.75185,1/1/2030
"EAST KILLARA, NSW",4,2,4,4,58.47,6.4,1 km,151.1814551,-33.75536381,1/1/2030
"BELLEVUE HILL, NSW",4,2,2,4,81.28,18.85,1 km,151.25591,-33.884685,1/1/2030
"BONNET BAY, NSW",4,2,2,4,38.11,6.05,1 km,151.063808,-34.009345,1/1/2030
"ANNANDALE, NSW",4,2,2,4,62.51,11.92,1 km,151.170165,-33.881624,1/1/2030
"ROZELLE, NSW",5,2,2,8,62.51,11.92,1 km,151.171915,-33.867187,1/1/2030
"FORESTVILLE, NSW",8,2,4,11,21.09,5.75,1 km,151.210531,-33.766093,1/1/2030
"BELROSE, NSW",10,4,4,12,30.48,14.3,1 km,151.211719,-33.728782,1/1/2030
"CROYDON PARK, NSW",4,2,2,7,44.76,23.12,1 km,151.102087,-33.898793,1/1/2030
"BROADWAY, NSW",4,2,2,4,2.5,1.3,1 km,151.19665,-33.883189,1/1/2030
"NEWPORT, NSW",4,2,2,4,22.38,7.6,1 km,151.314599,-33.660707,1/1/2030
"GEORGETOWN, NSW",4,2,2,4,40.66,14.06,1 km,151.722243,-32.905633,1/1/2030
"KIRRIBILLI, NSW",4,2,2,4,136.82,59.95,1 km,151.212372,-33.848785,1/1/2030
"WOOLLAHRA, NSW",4,2,2,4,66.47,34.93,1 km,151.240508,-33.88871,1/1/2030
"ST PETERS, NSW",7,2,4,8,88.63,11.1,1 km,151.17074,-33.920698,1/1/2030
"CROYDON, NSW",4,2,4,5,83.6,3.6,1 km,151.113385,-33.882419,1/1/2030
"BEECROFT, NSW",4,2,4,4,106.92,32.13,1 km,151.064176,-33.755499,1/1/2030
"HUNTERS HILL, NSW",4,2,4,4,69.83,2.86,1 km,151.149126,-33.836102,1/1/2030
"CAMMERAY, NSW",5,2,4,5,89.05,10.93,1 km,151.21246,-33.822837,1/1/2030
"SUMMER HILL, NSW",4,2,2,4,59.84,23.57,1 km,151.135883,-33.892783,1/1/2030
"KURRI KURRI, NSW",4,2,2,4,57.27,22.45,1 km,151.486212,-32.820688,1/1/2030
"WARRIEWOOD, NSW",4,2,2,4,57.41,21.97,1 km,151.290953,-33.689941,1/1/2030
"BIRRONG, NSW",4,2,4,5,54.87,11.91,1 km,151.021934,-33.885382,1/1/2030
"GORDON, NSW",4,2,2,4,39.43,1.81,1 km,151.153176,-33.754582,1/1/2030
"BASS HILL, NSW",4,2,2,4,94.58,34.91,1 km,150.998155,-33.901198,1/1/2030
"BURWOOD HEIGHTS, NSW",4,2,2,4,44.76,23.12,1 km,151.087741,-33.892944,1/1/2030
"FERN BAY, NSW",4,2,2,4,24.75,18.34,1 km,151.80174,-32.879469,1/1/2030
"ABERMAIN, NSW",4,2,2,4,20.77,19.02,1 km,151.453148,-32.785207,1/1/2030
"FAIRLIGHT, NSW",4,2,2,4,22.86,5.14,1 km,151.273242,-33.795227,1/1/2030
"GEORGES HALL, NSW",4,2,2,4,94.58,34.91,1 km,150.986277,-33.908788,1/1/2030
"HABERFIELD, NSW",6,2,4,7,59.84,23.57,1 km,151.138684,-33.879301,1/1/2030
"SEAFORTH, NSW",4,2,2,4,43.92,11.74,1 km,151.241813,-33.796636,1/1/2030
"MOUNT COLAH, NSW",4,2,2,4,42.33,16.2,1 km,151.112681,-33.666637,1/1/2030
"NORTHBRIDGE, NSW",4,2,2,4,89.05,10.93,1 km,151.214797,-33.812636,1/1/2030
"BELFIELD, NSW",4,2,2,4,44.76,23.12,1 km,151.085513,-33.906803,1/1/2030
"FOUNTAINDALE, NSW",8,2,4,9,59.9,10.81,1 km,151.3433,-33.333187,1/1/2030
"BEROWRA CREEK, NSW",4,2,2,4,42.33,16.2,1 km,151.138709,-33.54620871,1/1/2030
"ARCADIA, NSW",4,2,2,4,38.11,23.24,1 km,151.084146,-33.539148,1/1/2030
"BEROWRA, NSW",10,4,4,13,42.33,16.2,1 km,151.150498,-33.619756,1/1/2030
"SHORTLAND, NSW",4,2,4,5,57.48,15.98,1 km,151.688102,-32.88365,1/1/2030
"CARLINGFORD, NSW",9,2,4,13,70,30.69,1 km,151.043518,-33.775596,1/1/2030
"CARAVAN HEAD, NSW",4,2,2,5,25,6.9,1 km,151.087892,-33.997441,1/1/2030
"CARRAMAR, NSW",5,2,4,6,25,5.35,1 km,150.979458,-33.887203,1/1/2030
"DURAL, NSW",5,2,2,8,25,4.71,1 km,151.040358,-33.690331,1/1/2030
"MILPERRA, NSW",4,2,4,4,61.18,7.42,1 km,150.981592,-33.941443,1/1/2030
"BROADMEADOW, NSW",4,2,2,4,40.66,14.06,1 km,151.740716,-32.931589,1/1/2030
"MARYVILLE, NSW",4,2,2,4,23.82,0.72,1 km,151.754696,-32.917776,1/1/2030
"BAYVIEW, NSW",4,2,2,4,57.41,21.97,1 km,151.290921,-33.664921,1/1/2030
"HOLMESVILLE, NSW",4,2,2,4,22.86,-3.88,1 km,151.532669,-32.923321,1/1/2030
"WEST PENNANT HILLS, NSW",8,2,4,10,35,11.54,1 km,151.031807,-33.752645,1/1/2030
"SILVERWATER, NSW",4,2,2,4,41.01,12.59,1 km,151.047591,-33.835928,1/1/2030
"COTTAGE POINT, NSW",4,2,2,4,2.5,0.1,1 km,151.216929,-33.650999,1/1/2030
"COASTERS RETREAT, NSW",4,2,2,4,19.7,9.16,1 km,151.322759,-33.60382,1/1/2030
"WANGI WANGI, NSW",4,2,2,4,38.11,24.83,1 km,151.591728,-33.086545,1/1/2030
"CASTLE HILL, NSW",11,4,4,13,50,22.32,1 km,151.000948,-33.73238,1/1/2030
"ISLINGTON, NSW",4,2,2,5,23.82,0.72,1 km,151.746237,-32.915698,1/1/2030
"CARRINGTON, NSW",4,2,2,4,16,6.1,1 km,151.767408,-32.915791,1/1/2030
"KURNELL, NSW",4,2,2,4,38.11,30.13,1 km,151.193492,-34.029927,1/1/2030
"CHURCH POINT, NSW",4,2,2,4,57.41,21.97,1 km,151.278293,-33.642202,1/1/2030
"BARNSLEY, NSW",4,2,2,4,22.86,-3.88,1 km,151.590415,-32.932412,1/1/2030
"MOUNT KURING-GAI, NSW",4,2,2,4,42.3,16.2,1 km,151.143563,-33.658174,1/1/2030
"NEWCASTLE WEST, NSW",4,2,2,4,76.21,32.64,1 km,151.752466,-32.931265,1/1/2030
"TIGHES HILL, NSW",4,2,2,4,23.82,0.72,1 km,151.750126,-32.909135,1/1/2030
"PLEASURE POINT, NSW",4,2,2,4,50,25.88,1 km,150.917444,-33.951109,1/1/2030
"DENISTONE, NSW",14,2,4,18,103.84,34.29,1 km,151.084181,-33.810991,1/1/2030
"ERMINGTON, NSW",4,2,2,4,58,20.3,1 km,151.059845,-33.813106,1/1/2030
"RYDALMERE, NSW",4,2,2,4,58,20.3,1 km,151.036941,-33.814368,1/1/2030
"DUNDAS, NSW",4,2,2,4,58,20.3,1 km,151.04218,-33.797127,1/1/2030
"CARLINGFORD, NSW",9,2,4,13,70,30.69,1 km,151.043518,-33.775596,1/1/2030
"EPPING, NSW",6,2,4,7,74.91,1.76,1 km,151.079919,-33.774145,1/1/2030
"EASTWOOD, NSW",7,2,4,8,103.84,34.29,1 km,151.092072,-33.791357,1/1/2030
"WEST PENNANT HILLS, NSW",8,2,4,10,35,11.54,1 km,151.031807,-33.752645,1/1/2030
"CHERRYBROOK, NSW",4,2,4,4,106.92,32.13,1 km,151.043941,-33.724898,1/1/2030
"BLAXCELL, NSW",15,4,5,16,25,-2.54,1 km,151.015196,-33.832747,1/1/2030
"CONSTITUTION HILL, NSW",22,4,7,26,45,10.64,1 km,150.9751544,-33.79382308,1/1/2030
"OLD TOONGABBIE, NSW",4,2,2,4,45,10.64,1 km,150.959508,-33.789374,1/1/2030
"KINGS LANGLEY, NSW",13,2,4,13,90,37.65,1 km,150.935836,-33.766075,1/1/2030
"ARNDELL PARK, NSW",14,2,4,18,90,51.7,1 km,150.900547,-33.783751,1/1/2030
"HARRIS PARK, NSW",8,2,4,8,50,25.69,1 km,151.006506,-33.814463,1/1/2030
"NORTH PARRAMATTA, NSW",8,2,4,8,55,20.83,1 km,151.012511,-33.78709,1/1/2030
"NORTHMEAD, NSW",4,2,2,5,25,4.61,1 km,150.996388,-33.782501,1/1/2030
"BAULKHAM HILLS, NSW",8,2,4,10,50,13.08,1 km,150.955942,-33.731651,1/1/2030
"CASTLE HILL, NSW",11,4,4,13,50,22.32,1 km,151.000948,-33.73238,1/1/2030
"BEAUMONT HILLS, NSW",8,2,4,10,90,-8.17,1 km,150.931074,-33.731523,1/1/2030
